target,src,round,rule,true_hv_gain,recall,diversity
ESR2,analytic_ehvi,1,greedy_mean,23.585433959960938,0.85,0.21301261028046647
ESR2,analytic_ehvi,1,analytic_ehvi,23.585433959960938,0.86,0.2105484523624947
ESR2,analytic_ehvi,1,analytic_pomhi,36.8583984375,0.81,0.21417940892693743
ESR2,analytic_ehvi,1,random,18.754043579101562,0.03,0.35355143669207223
ESR2,analytic_ehvi,2,greedy_mean,0.92620849609375,0.11,0.3820966785247791
ESR2,analytic_ehvi,2,analytic_ehvi,10.78851318359375,0.31,0.3363559014144653
ESR2,analytic_ehvi,2,analytic_pomhi,10.779769897460938,0.21,0.3382844724717554
ESR2,analytic_ehvi,2,random,0.059051513671875,0.02,0.39073403959736325
ESR2,analytic_ehvi,3,greedy_mean,0.1107330322265625,0.68,0.3328148904393222
ESR2,analytic_ehvi,3,analytic_ehvi,2.926177978515625,0.15,0.4574573309607591
ESR2,analytic_ehvi,3,analytic_pomhi,2.051239013671875,0.12,0.42594493509251613
ESR2,analytic_ehvi,3,random,0.0,0.01,0.2975692005601296
ESR2,analytic_ehvi,4,greedy_mean,0.0170440673828125,0.77,0.31953996711331045
ESR2,analytic_ehvi,4,analytic_ehvi,2.007904052734375,0.11,0.3619533237036177
ESR2,analytic_ehvi,4,analytic_pomhi,1.9940032958984375,0.08,0.33362491667187366
ESR2,analytic_ehvi,4,random,0.00311279296875,0.05,0.3461773783155595
ESR2,analytic_ehvi,5,greedy_mean,0.147186279296875,0.85,0.36099092809462197
ESR2,analytic_ehvi,5,analytic_ehvi,1.6820068359375,0.14,0.4680916063520951
ESR2,analytic_ehvi,5,analytic_pomhi,1.6800537109375,0.13,0.46416367013838866
ESR2,analytic_ehvi,5,random,0.0034332275390625,0.07,0.38804375105776634
ESR2,analytic_ehvi,6,greedy_mean,0.165557861328125,0.73,0.3640134045356396
ESR2,analytic_ehvi,6,analytic_ehvi,0.1656646728515625,0.12,0.43153239926228854
ESR2,analytic_ehvi,6,analytic_pomhi,0.1528167724609375,0.1,0.4284578029576675
ESR2,analytic_ehvi,6,random,0.0,0.01,0.39727357302539973
ESR2,analytic_ehvi,7,greedy_mean,0.01580810546875,0.91,0.35396893116724887
ESR2,analytic_ehvi,7,analytic_ehvi,0.0224761962890625,0.11,0.39704067214642
ESR2,analytic_ehvi,7,analytic_pomhi,0.0167694091796875,0.1,0.4191691032971937
ESR2,analytic_ehvi,7,random,0.0,0.05,0.37655094057350774
ESR2,analytic_ehvi,8,greedy_mean,0.095489501953125,0.89,0.34454257310033504
ESR2,analytic_ehvi,8,analytic_ehvi,0.100372314453125,0.08,0.43447284800970387
ESR2,analytic_ehvi,8,analytic_pomhi,0.100372314453125,0.08,0.4318631501148147
ESR2,analytic_ehvi,8,random,0.0012054443359375,0.07,0.4035169649080405
ESR2,analytic_ehvi,9,greedy_mean,0.0138092041015625,0.8,0.32989714322561
ESR2,analytic_ehvi,9,analytic_ehvi,2.5347442626953125,0.13,0.4067185215526184
ESR2,analytic_ehvi,9,analytic_pomhi,2.5347442626953125,0.13,0.40888350712975974
ESR2,analytic_ehvi,9,random,0.0012054443359375,0.05,0.3586067620322787
ESR2,analytic_ehvi,10,greedy_mean,0.022369384765625,0.88,0.34248156859886747
ESR2,analytic_ehvi,10,analytic_ehvi,0.3370208740234375,0.03,0.45365035238992985
ESR2,analytic_ehvi,10,analytic_pomhi,0.3370208740234375,0.04,0.4664180682219591
ESR2,analytic_ehvi,10,random,0.0,0.04,0.37969952850724176
ESR2,analytic_pomhi,1,greedy_mean,23.585433959960938,0.85,0.21298019044351757
ESR2,analytic_pomhi,1,analytic_ehvi,23.585433959960938,0.85,0.20835629544395
ESR2,analytic_pomhi,1,analytic_pomhi,36.85939025878906,0.81,0.21168116300050704
ESR2,analytic_pomhi,1,random,18.754043579101562,0.03,0.35355143669207223
ESR2,analytic_pomhi,2,greedy_mean,0.446929931640625,0.63,0.35987189008165843
ESR2,analytic_pomhi,2,analytic_ehvi,8.266433715820312,0.19,0.3416420330358217
ESR2,analytic_pomhi,2,analytic_pomhi,8.243331909179688,0.12,0.3331470637307565
ESR2,analytic_pomhi,2,random,0.0083160400390625,0.08,0.39073403959736325
ESR2,analytic_pomhi,3,greedy_mean,0.107330322265625,0.8,0.32754656791350756
ESR2,analytic_pomhi,3,analytic_ehvi,1.774627685546875,0.12,0.40623237937592593
ESR2,analytic_pomhi,3,analytic_pomhi,1.68267822265625,0.1,0.34653984375274827
ESR2,analytic_pomhi,3,random,1.52587890625e-05,0.03,0.2975692005601296
ESR2,analytic_pomhi,4,greedy_mean,0.0304412841796875,0.83,0.31973396864148684
ESR2,analytic_pomhi,4,analytic_ehvi,2.65533447265625,0.09,0.37994053699951624
ESR2,analytic_pomhi,4,analytic_pomhi,2.6370086669921875,0.07,0.3636775453505577
ESR2,analytic_pomhi,4,random,0.0042724609375,0.04,0.3461773783155595
ESR2,analytic_pomhi,5,greedy_mean,0.1468658447265625,0.87,0.3644615432663679
ESR2,analytic_pomhi,5,analytic_ehvi,1.2361602783203125,0.17,0.46741589514373855
ESR2,analytic_pomhi,5,analytic_pomhi,1.20721435546875,0.11,0.4793214004219577
ESR2,analytic_pomhi,5,random,0.0008544921875,0.07,0.38804375105776634
ESR2,analytic_pomhi,6,greedy_mean,0.1819610595703125,0.7,0.36858717257847856
ESR2,analytic_pomhi,6,analytic_ehvi,0.182037353515625,0.15,0.4373703153151247
ESR2,analytic_pomhi,6,analytic_pomhi,0.16259765625,0.11,0.43271020386593306
ESR2,analytic_pomhi,6,random,0.0,0.0,0.39727357302539973
ESR2,analytic_pomhi,7,greedy_mean,0.0303802490234375,0.94,0.35584948539948313
ESR2,analytic_pomhi,7,analytic_ehvi,0.03192138671875,0.1,0.429633592076473
ESR2,analytic_pomhi,7,analytic_pomhi,0.0297088623046875,0.09,0.4335929517195616
ESR2,analytic_pomhi,7,random,0.0,0.06,0.37655094057350774
ESR2,analytic_pomhi,8,greedy_mean,0.1024932861328125,0.93,0.3476061830407233
ESR2,analytic_pomhi,8,analytic_ehvi,0.22686767578125,0.07,0.4486887225619005
ESR2,analytic_pomhi,8,analytic_pomhi,0.2260894775390625,0.06,0.44871229770385007
ESR2,analytic_pomhi,8,random,0.0,0.06,0.4035169649080405
ESR2,analytic_pomhi,9,greedy_mean,0.0231475830078125,0.91,0.32702222506704276
ESR2,analytic_pomhi,9,analytic_ehvi,2.720977783203125,0.14,0.42024494950089475
ESR2,analytic_pomhi,9,analytic_pomhi,2.720977783203125,0.13,0.42706158033140734
ESR2,analytic_pomhi,9,random,0.0,0.04,0.3586067620322787
ESR2,analytic_pomhi,10,greedy_mean,0.022369384765625,0.93,0.33424766764140856
ESR2,analytic_pomhi,10,analytic_ehvi,0.2021331787109375,0.06,0.4483345276912458
ESR2,analytic_pomhi,10,analytic_pomhi,0.2041473388671875,0.08,0.44786023921451784
ESR2,analytic_pomhi,10,random,0.0,0.04,0.37969952850724176
F2,analytic_ehvi,1,greedy_mean,24.402114868164062,0.77,0.21825192564192825
F2,analytic_ehvi,1,analytic_ehvi,24.396469116210938,0.76,0.21834020272690285
F2,analytic_ehvi,1,analytic_pomhi,24.396469116210938,0.81,0.22755757200582336
F2,analytic_ehvi,1,random,20.36578369140625,0.03,0.406088873801895
F2,analytic_ehvi,2,greedy_mean,5.1535186767578125,0.13,0.41552901480961396
F2,analytic_ehvi,2,analytic_ehvi,6.6593780517578125,0.22,0.30481318165476545
F2,analytic_ehvi,2,analytic_pomhi,6.4722747802734375,0.16,0.28942141623893475
F2,analytic_ehvi,2,random,1.245635986328125,0.06,0.41801315399673505
F2,analytic_ehvi,3,greedy_mean,0.268585205078125,0.75,0.3657038063073384
F2,analytic_ehvi,3,analytic_ehvi,3.2087554931640625,0.16,0.38227633719597987
F2,analytic_ehvi,3,analytic_pomhi,3.1043243408203125,0.09,0.36052497170338876
F2,analytic_ehvi,3,random,0.0464630126953125,0.01,0.3875577543256964
F2,analytic_ehvi,4,greedy_mean,0.2213287353515625,0.75,0.3284099056494282
F2,analytic_ehvi,4,analytic_ehvi,3.6579132080078125,0.13,0.38536118153643945
F2,analytic_ehvi,4,analytic_pomhi,2.4959564208984375,0.09,0.36296432141681245
F2,analytic_ehvi,4,random,0.0022430419921875,0.04,0.3281141083683303
F2,analytic_ehvi,5,greedy_mean,0.2396697998046875,0.84,0.3203217790820071
F2,analytic_ehvi,5,analytic_ehvi,0.4454498291015625,0.2,0.41650522643343874
F2,analytic_ehvi,5,analytic_pomhi,0.4382781982421875,0.18,0.45534085008235936
F2,analytic_ehvi,5,random,-1.52587890625e-05,0.07,0.37431534965874075
F2,analytic_ehvi,6,greedy_mean,0.0339813232421875,0.89,0.3254802569975445
F2,analytic_ehvi,6,analytic_ehvi,0.1143035888671875,0.11,0.43597155296710566
F2,analytic_ehvi,6,analytic_pomhi,0.113006591796875,0.11,0.4220787278778805
F2,analytic_ehvi,6,random,0.0005950927734375,0.03,0.3621789004343934
F2,analytic_ehvi,7,greedy_mean,0.049774169921875,0.8,0.3443453121457934
F2,analytic_ehvi,7,analytic_ehvi,0.0829925537109375,0.12,0.4559721736635723
F2,analytic_ehvi,7,analytic_pomhi,0.0846710205078125,0.14,0.43698510684047587
F2,analytic_ehvi,7,random,4.57763671875e-05,0.06,0.38372344545974907
F2,analytic_ehvi,8,greedy_mean,0.040130615234375,0.85,0.3328900611453533
F2,analytic_ehvi,8,analytic_ehvi,1.3696441650390625,0.09,0.40945447075750635
F2,analytic_ehvi,8,analytic_pomhi,1.3714141845703125,0.1,0.42262058160470034
F2,analytic_ehvi,8,random,0.000213623046875,0.06,0.3605071831722267
F2,analytic_ehvi,9,greedy_mean,0.0340576171875,0.91,0.3762389821509268
F2,analytic_ehvi,9,analytic_ehvi,0.1628570556640625,0.12,0.42515801780567736
F2,analytic_ehvi,9,analytic_pomhi,0.1629486083984375,0.14,0.4141905292129625
F2,analytic_ehvi,9,random,0.0,0.04,0.3845720422914131
F2,analytic_ehvi,10,greedy_mean,0.0171356201171875,0.93,0.34550595930719397
F2,analytic_ehvi,10,analytic_ehvi,0.02166748046875,0.1,0.41934992957226414
F2,analytic_ehvi,10,analytic_pomhi,0.02166748046875,0.1,0.37997640769369334
F2,analytic_ehvi,10,random,0.0,0.03,0.39820065613158584
F2,analytic_pomhi,1,greedy_mean,24.402114868164062,0.77,0.21799700841155462
F2,analytic_pomhi,1,analytic_ehvi,24.396469116210938,0.76,0.21799026235756164
F2,analytic_pomhi,1,analytic_pomhi,24.396469116210938,0.8,0.24654485702757492
F2,analytic_pomhi,1,random,20.36578369140625,0.03,0.406088873801895
F2,analytic_pomhi,2,greedy_mean,5.0147247314453125,0.12,0.405064276866445
F2,analytic_pomhi,2,analytic_ehvi,6.849761962890625,0.22,0.33253544406444197
F2,analytic_pomhi,2,analytic_pomhi,3.1692047119140625,0.13,0.29574727601685746
F2,analytic_pomhi,2,random,1.245635986328125,0.06,0.41801315399673505
F2,analytic_pomhi,3,greedy_mean,0.5363922119140625,0.66,0.36506782008998756
F2,analytic_pomhi,3,analytic_ehvi,3.17340087890625,0.17,0.3603792787905812
F2,analytic_pomhi,3,analytic_pomhi,3.0189056396484375,0.08,0.32080839248548987
F2,analytic_pomhi,3,random,0.0925445556640625,0.05,0.3875577543256964
F2,analytic_pomhi,4,greedy_mean,0.3152313232421875,0.71,0.3299250105209839
F2,analytic_pomhi,4,analytic_ehvi,6.9455108642578125,0.21,0.4251604381441828
F2,analytic_pomhi,4,analytic_pomhi,6.8678131103515625,0.18,0.41458861335862857
F2,analytic_pomhi,4,random,0.00048828125,0.04,0.3281141083683303
F2,analytic_pomhi,5,greedy_mean,0.29791259765625,0.84,0.3242743976312688
F2,analytic_pomhi,5,analytic_ehvi,0.5829010009765625,0.23,0.4081745310353776
F2,analytic_pomhi,5,analytic_pomhi,0.57574462890625,0.19,0.4320269598667203
F2,analytic_pomhi,5,random,0.046142578125,0.08,0.37431534965874075
F2,analytic_pomhi,6,greedy_mean,0.033966064453125,0.89,0.3254802569975445
F2,analytic_pomhi,6,analytic_ehvi,0.1138458251953125,0.09,0.4479093993714328
F2,analytic_pomhi,6,analytic_pomhi,0.113861083984375,0.1,0.4171517422286545
F2,analytic_pomhi,6,random,0.001434326171875,0.03,0.3621789004343934
F2,analytic_pomhi,7,greedy_mean,0.13348388671875,0.84,0.34770602479462714
F2,analytic_pomhi,7,analytic_ehvi,0.152191162109375,0.12,0.45354887999851495
F2,analytic_pomhi,7,analytic_pomhi,0.1567840576171875,0.14,0.4237980156070168
F2,analytic_pomhi,7,random,6.103515625e-05,0.06,0.38372344545974907
F2,analytic_pomhi,8,greedy_mean,0.040130615234375,0.88,0.3328900611453533
F2,analytic_pomhi,8,analytic_ehvi,1.369293212890625,0.12,0.410485355851956
F2,analytic_pomhi,8,analytic_pomhi,1.3692779541015625,0.12,0.42519112632290146
F2,analytic_pomhi,8,random,0.0,0.05,0.3605071831722267
F2,analytic_pomhi,9,greedy_mean,0.04302978515625,0.93,0.3762389821509268
F2,analytic_pomhi,9,analytic_ehvi,0.189239501953125,0.13,0.44183448754681776
F2,analytic_pomhi,9,analytic_pomhi,0.189056396484375,0.12,0.4281975018912073
F2,analytic_pomhi,9,random,0.0,0.04,0.3845720422914131
F2,analytic_pomhi,10,greedy_mean,0.0169219970703125,0.93,0.34550595930719397
F2,analytic_pomhi,10,analytic_ehvi,0.0214385986328125,0.09,0.4083521443836484
F2,analytic_pomhi,10,analytic_pomhi,0.0214385986328125,0.1,0.3552108455869942
F2,analytic_pomhi,10,random,0.0,0.03,0.39820065613158584
JAK2,analytic_ehvi,1,greedy_mean,22.888458251953125,0.85,0.20717846229073664
JAK2,analytic_ehvi,1,analytic_ehvi,23.001556396484375,0.86,0.20924417939374115
JAK2,analytic_ehvi,1,analytic_pomhi,25.46624755859375,0.84,0.2399099854875679
JAK2,analytic_ehvi,1,random,17.790756225585938,0.08,0.366341440239723
JAK2,analytic_ehvi,2,greedy_mean,1.2622833251953125,0.28,0.3902332367987711
JAK2,analytic_ehvi,2,analytic_ehvi,4.28692626953125,0.44,0.29213693390280415
JAK2,analytic_ehvi,2,analytic_pomhi,3.9323883056640625,0.31,0.29136909418423096
JAK2,analytic_ehvi,2,random,0.119781494140625,0.01,0.3483944513746791
JAK2,analytic_ehvi,3,greedy_mean,0.4329833984375,0.41,0.391427064405054
JAK2,analytic_ehvi,3,analytic_ehvi,1.5214080810546875,0.29,0.42505779054056314
JAK2,analytic_ehvi,3,analytic_pomhi,1.5016632080078125,0.26,0.4123401534966882
JAK2,analytic_ehvi,3,random,0.7898712158203125,0.03,0.3944834964107519
JAK2,analytic_ehvi,4,greedy_mean,0.4530792236328125,0.67,0.3575944999442117
JAK2,analytic_ehvi,4,analytic_ehvi,0.932952880859375,0.2,0.41544786671583445
JAK2,analytic_ehvi,4,analytic_pomhi,1.027313232421875,0.14,0.39696949886255606
JAK2,analytic_ehvi,4,random,0.0,0.03,0.34432000011713915
JAK2,analytic_ehvi,5,greedy_mean,0.07379150390625,0.85,0.3245927718951293
JAK2,analytic_ehvi,5,analytic_ehvi,0.325103759765625,0.1,0.4203783341427272
JAK2,analytic_ehvi,5,analytic_pomhi,0.3175201416015625,0.08,0.41682754640666764
JAK2,analytic_ehvi,5,random,0.0012969970703125,0.08,0.38960563657965186
JAK2,analytic_ehvi,6,greedy_mean,0.225341796875,0.64,0.34682151213994944
JAK2,analytic_ehvi,6,analytic_ehvi,3.09344482421875,0.18,0.3835176346199093
JAK2,analytic_ehvi,6,analytic_pomhi,3.0938873291015625,0.19,0.38371804390285214
JAK2,analytic_ehvi,6,random,0.0,0.0,0.34876872185438423
JAK2,analytic_ehvi,7,greedy_mean,0.01025390625,0.85,0.3574103572022345
JAK2,analytic_ehvi,7,analytic_ehvi,0.6505279541015625,0.12,0.41747192259691684
JAK2,analytic_ehvi,7,analytic_pomhi,0.648101806640625,0.1,0.4062060797725997
JAK2,analytic_ehvi,7,random,0.0,0.05,0.362907120763875
JAK2,analytic_ehvi,8,greedy_mean,0.022125244140625,0.85,0.3141649537284223
JAK2,analytic_ehvi,8,analytic_ehvi,0.48486328125,0.1,0.41285969900174707
JAK2,analytic_ehvi,8,analytic_pomhi,0.48553466796875,0.12,0.4202778246457396
JAK2,analytic_ehvi,8,random,0.152679443359375,0.06,0.36032979437111173
JAK2,analytic_ehvi,9,greedy_mean,0.016448974609375,0.9,0.3240876278885828
JAK2,analytic_ehvi,9,analytic_ehvi,1.1054534912109375,0.11,0.4051893762924472
JAK2,analytic_ehvi,9,analytic_pomhi,1.1054229736328125,0.11,0.3883264969280156
JAK2,analytic_ehvi,9,random,0.0,0.03,0.36005807351926034
JAK2,analytic_ehvi,10,greedy_mean,0.0826263427734375,0.89,0.3588664093758651
JAK2,analytic_ehvi,10,analytic_ehvi,0.3320770263671875,0.12,0.4166069581162494
JAK2,analytic_ehvi,10,analytic_pomhi,0.3256988525390625,0.09,0.4477031516295405
JAK2,analytic_ehvi,10,random,0.0050048828125,0.04,0.38531194016514353
