target,seed,method,source_method,round,base_hv,upper_hv,hv,gain_ratio,gap_to_upper
ESR2,42,upper_bound,random,0,173.93540954589844,173.93540954589844,173.93540954589844,0.0,0.0
ESR2,42,upper_bound,random,1,173.93540954589844,183.78427124023438,183.78427124023438,1.0,0.0
ESR2,42,upper_bound,random,2,173.93540954589844,184.281494140625,184.281494140625,1.0,0.0
ESR2,42,upper_bound,random,3,173.93540954589844,185.73727416992188,185.73727416992188,1.0,0.0
ESR2,42,upper_bound,random,4,173.93540954589844,186.13992309570312,186.13992309570312,1.0,0.0
ESR2,42,upper_bound,random,5,173.93540954589844,188.8538055419922,188.8538055419922,1.0,0.0
ESR2,42,upper_bound,random,6,173.93540954589844,189.08009338378906,189.08009338378906,1.0,0.0
ESR2,42,upper_bound,random,7,173.93540954589844,189.72381591796875,189.72381591796875,1.0,0.0
ESR2,42,upper_bound,random,8,173.93540954589844,190.0047607421875,190.0047607421875,1.0,0.0
ESR2,42,upper_bound,random,9,173.93540954589844,191.7615509033203,191.7615509033203,1.0,0.0
ESR2,42,upper_bound,random,10,173.93540954589844,194.8154296875,194.8154296875,1.0,0.0
ESR2,42,random,random,10,173.93540954589844,194.8154296875,184.79786682128903,0.5202321262970493,10.017562866210966
F2,42,upper_bound,random,0,170.15879821777344,170.15879821777344,170.15879821777344,0.0,0.0
F2,42,upper_bound,random,1,170.15879821777344,183.9816131591797,183.9816131591797,1.0,0.0
F2,42,upper_bound,random,2,170.15879821777344,191.3467254638672,191.3467254638672,1.0,0.0
F2,42,upper_bound,random,3,170.15879821777344,194.61181640625,194.61181640625,1.0,0.0
F2,42,upper_bound,random,4,170.15879821777344,194.97666931152344,194.97666931152344,1.0,0.0
F2,42,upper_bound,random,5,170.15879821777344,195.2117919921875,195.2117919921875,1.0,0.0
F2,42,upper_bound,random,6,170.15879821777344,195.44483947753906,195.44483947753906,1.0,0.0
F2,42,upper_bound,random,7,170.15879821777344,195.55221557617188,195.55221557617188,1.0,0.0
F2,42,upper_bound,random,8,170.15879821777344,197.26260375976562,197.26260375976562,1.0,0.0
F2,42,upper_bound,random,9,170.15879821777344,197.39283752441406,197.39283752441406,1.0,0.0
F2,42,upper_bound,random,10,170.15879821777344,198.6370849609375,198.6370849609375,1.0,0.0
F2,42,random,random,10,170.15879821777344,198.6370849609375,186.6137542724609,0.5778070922274609,12.023330688476591
JAK2,42,upper_bound,random,0,180.6273193359375,180.6273193359375,180.6273193359375,0.0,0.0
JAK2,42,upper_bound,random,1,180.6273193359375,196.73521423339844,196.73521423339844,1.0,0.0
JAK2,42,upper_bound,random,2,180.6273193359375,199.25558471679688,199.25558471679688,1.0,0.0
JAK2,42,upper_bound,random,3,180.6273193359375,200.47206115722656,200.47206115722656,1.0,0.0
JAK2,42,upper_bound,random,4,180.6273193359375,206.4581298828125,206.4581298828125,1.0,0.0
JAK2,42,upper_bound,random,5,180.6273193359375,206.59552001953125,206.59552001953125,1.0,0.0
JAK2,42,upper_bound,random,6,180.6273193359375,206.62672424316406,206.62672424316406,1.0,0.0
JAK2,42,upper_bound,random,7,180.6273193359375,206.77191162109375,206.77191162109375,1.0,0.0
JAK2,42,upper_bound,random,8,180.6273193359375,206.90684509277344,206.90684509277344,1.0,0.0
JAK2,42,upper_bound,random,9,180.6273193359375,207.62054443359375,207.62054443359375,1.0,0.0
JAK2,42,upper_bound,random,10,180.6273193359375,207.86488342285156,207.86488342285156,1.0,0.0
JAK2,42,random,random,10,180.6273193359375,207.86488342285156,193.4663543701172,0.471372366236966,14.398529052734375
KIT,42,upper_bound,random,0,172.8856964111328,172.8856964111328,172.8856964111328,0.0,0.0
KIT,42,upper_bound,random,1,172.8856964111328,190.19322204589844,190.19322204589844,1.0,0.0
KIT,42,upper_bound,random,2,172.8856964111328,194.26321411132812,194.26321411132812,1.0,0.0
KIT,42,upper_bound,random,3,172.8856964111328,195.82688903808594,195.82688903808594,1.0,0.0
KIT,42,upper_bound,random,4,172.8856964111328,196.17100524902344,196.17100524902344,1.0,0.0
KIT,42,upper_bound,random,5,172.8856964111328,197.35462951660156,197.35462951660156,1.0,0.0
KIT,42,upper_bound,random,6,172.8856964111328,197.56961059570312,197.56961059570312,1.0,0.0
KIT,42,upper_bound,random,7,172.8856964111328,197.78659057617188,197.78659057617188,1.0,0.0
KIT,42,upper_bound,random,8,172.8856964111328,197.81642150878906,197.81642150878906,1.0,0.0
KIT,42,upper_bound,random,9,172.8856964111328,197.86221313476562,197.86221313476562,1.0,0.0
KIT,42,upper_bound,random,10,172.8856964111328,197.89706420898438,197.89706420898438,1.0,0.0
KIT,42,random,random,10,172.8856964111328,197.89706420898438,187.31280517578125,0.5768220627217239,10.584259033203125
PARP1,42,upper_bound,random,0,196.12217712402344,196.12217712402344,196.12217712402344,0.0,0.0
PARP1,42,upper_bound,random,1,196.12217712402344,210.53770446777344,210.53770446777344,1.0,0.0
PARP1,42,upper_bound,random,2,196.12217712402344,214.09768676757812,214.09768676757812,1.0,0.0
PARP1,42,upper_bound,random,3,196.12217712402344,221.97019958496094,221.97019958496094,1.0,0.0
PARP1,42,upper_bound,random,4,196.12217712402344,223.06886291503906,223.06886291503906,1.0,0.0
PARP1,42,upper_bound,random,5,196.12217712402344,225.27276611328125,225.27276611328125,1.0,0.0
PARP1,42,upper_bound,random,6,196.12217712402344,225.4349365234375,225.4349365234375,1.0,0.0
PARP1,42,upper_bound,random,7,196.12217712402344,225.55429077148438,225.55429077148438,1.0,0.0
PARP1,42,upper_bound,random,8,196.12217712402344,225.75181579589844,225.75181579589844,1.0,0.0
PARP1,42,upper_bound,random,9,196.12217712402344,225.96546936035156,225.96546936035156,1.0,0.0
PARP1,42,upper_bound,random,10,196.12217712402344,226.33787536621094,226.33787536621094,1.0,0.0
PARP1,42,random,random,10,196.12217712402344,226.33787536621094,208.6138610839844,0.4134170211734487,17.724014282226534
ESR2,43,upper_bound,random,0,158.84103393554688,158.84103393554688,158.84103393554688,0.0,0.0
ESR2,43,upper_bound,random,1,158.84103393554688,184.64414978027344,184.64414978027344,1.0,0.0
ESR2,43,upper_bound,random,2,158.84103393554688,185.638427734375,185.638427734375,1.0,0.0
ESR2,43,upper_bound,random,3,158.84103393554688,186.73538208007812,186.73538208007812,1.0,0.0
ESR2,43,upper_bound,random,4,158.84103393554688,187.39315795898438,187.39315795898438,1.0,0.0
ESR2,43,upper_bound,random,5,158.84103393554688,188.53741455078125,188.53741455078125,1.0,0.0
ESR2,43,upper_bound,random,6,158.84103393554688,189.06036376953125,189.06036376953125,1.0,0.0
ESR2,43,upper_bound,random,7,158.84103393554688,191.62725830078125,191.62725830078125,1.0,0.0
ESR2,43,upper_bound,random,8,158.84103393554688,191.72337341308594,191.72337341308594,1.0,0.0
ESR2,43,upper_bound,random,9,158.84103393554688,192.02841186523438,192.02841186523438,1.0,0.0
ESR2,43,upper_bound,random,10,158.84103393554688,192.04208374023438,192.04208374023438,1.0,0.0
ESR2,43,random,random,10,158.84103393554688,192.04208374023438,178.81832885742188,0.6017067243173286,13.2237548828125
F2,43,upper_bound,random,0,180.01705932617188,180.01705932617188,180.01705932617188,0.0,0.0
F2,43,upper_bound,random,1,180.01705932617188,185.8894805908203,185.8894805908203,1.0,0.0
F2,43,upper_bound,random,2,180.01705932617188,190.2013702392578,190.2013702392578,1.0,0.0
F2,43,upper_bound,random,3,180.01705932617188,190.69180297851562,190.69180297851562,1.0,0.0
F2,43,upper_bound,random,4,180.01705932617188,191.50103759765625,191.50103759765625,1.0,0.0
F2,43,upper_bound,random,5,180.01705932617188,193.18820190429688,193.18820190429688,1.0,0.0
F2,43,upper_bound,random,6,180.01705932617188,194.88572692871094,194.88572692871094,1.0,0.0
F2,43,upper_bound,random,7,180.01705932617188,197.031005859375,197.031005859375,1.0,0.0
F2,43,upper_bound,random,8,180.01705932617188,197.09591674804688,197.09591674804688,1.0,0.0
F2,43,upper_bound,random,9,180.01705932617188,198.34080505371094,198.34080505371094,1.0,0.0
F2,43,upper_bound,random,10,180.01705932617188,198.602294921875,198.602294921875,1.0,0.0
F2,43,random,random,10,180.01705932617188,198.602294921875,188.1273498535156,0.4363835198956965,10.474945068359403
JAK2,43,upper_bound,random,0,190.1666717529297,190.1666717529297,190.1666717529297,0.0,0.0
JAK2,43,upper_bound,random,1,190.1666717529297,199.384521484375,199.384521484375,1.0,0.0
JAK2,43,upper_bound,random,2,190.1666717529297,203.5136260986328,203.5136260986328,1.0,0.0
JAK2,43,upper_bound,random,3,190.1666717529297,203.88636779785156,203.88636779785156,1.0,0.0
JAK2,43,upper_bound,random,4,190.1666717529297,204.66879272460938,204.66879272460938,1.0,0.0
JAK2,43,upper_bound,random,5,190.1666717529297,205.00790405273438,205.00790405273438,1.0,0.0
JAK2,43,upper_bound,random,6,190.1666717529297,205.92544555664062,205.92544555664062,1.0,0.0
JAK2,43,upper_bound,random,7,190.1666717529297,205.94100952148438,205.94100952148438,1.0,0.0
JAK2,43,upper_bound,random,8,190.1666717529297,207.78475952148438,207.78475952148438,1.0,0.0
JAK2,43,upper_bound,random,9,190.1666717529297,207.84243774414062,207.84243774414062,1.0,0.0
JAK2,43,upper_bound,random,10,190.1666717529297,208.4510498046875,208.4510498046875,1.0,0.0
JAK2,43,random,random,10,190.1666717529297,208.4510498046875,196.4656219482422,0.3444990131729931,11.985427856445312
KIT,43,upper_bound,random,0,174.3249969482422,174.3249969482422,174.3249969482422,0.0,0.0
KIT,43,upper_bound,random,1,174.3249969482422,189.93910217285156,189.93910217285156,1.0,0.0
KIT,43,upper_bound,random,2,174.3249969482422,191.91448974609375,191.91448974609375,1.0,0.0
KIT,43,upper_bound,random,3,174.3249969482422,194.3401336669922,194.3401336669922,1.0,0.0
KIT,43,upper_bound,random,4,174.3249969482422,194.56472778320312,194.56472778320312,1.0,0.0
KIT,43,upper_bound,random,5,174.3249969482422,194.73829650878906,194.73829650878906,1.0,0.0
KIT,43,upper_bound,random,6,174.3249969482422,195.95803833007812,195.95803833007812,1.0,0.0
KIT,43,upper_bound,random,7,174.3249969482422,196.3869171142578,196.3869171142578,1.0,0.0
KIT,43,upper_bound,random,8,174.3249969482422,196.74545288085938,196.74545288085938,1.0,0.0
KIT,43,upper_bound,random,9,174.3249969482422,197.00311279296875,197.00311279296875,1.0,0.0
KIT,43,upper_bound,random,10,174.3249969482422,197.74871826171875,197.74871826171875,1.0,0.0
KIT,43,random,random,10,174.3249969482422,197.74871826171875,187.3133850097656,0.554497207668309,10.435333251953153
PARP1,43,upper_bound,random,0,197.93902587890625,197.93902587890625,197.93902587890625,0.0,0.0
PARP1,43,upper_bound,random,1,197.93902587890625,220.19912719726562,220.19912719726562,1.0,0.0
PARP1,43,upper_bound,random,2,197.93902587890625,221.2490234375,221.2490234375,1.0,0.0
PARP1,43,upper_bound,random,3,197.93902587890625,221.56236267089844,221.56236267089844,1.0,0.0
PARP1,43,upper_bound,random,4,197.93902587890625,222.47796630859375,222.47796630859375,1.0,0.0
PARP1,43,upper_bound,random,5,197.93902587890625,222.49549865722656,222.49549865722656,1.0,0.0
PARP1,43,upper_bound,random,6,197.93902587890625,223.19342041015625,223.19342041015625,1.0,0.0
PARP1,43,upper_bound,random,7,197.93902587890625,223.451904296875,223.451904296875,1.0,0.0
PARP1,43,upper_bound,random,8,197.93902587890625,223.56739807128906,223.56739807128906,1.0,0.0
PARP1,43,upper_bound,random,9,197.93902587890625,223.68328857421875,223.68328857421875,1.0,0.0
PARP1,43,upper_bound,random,10,197.93902587890625,223.77389526367188,223.77389526367188,1.0,0.0
PARP1,43,random,random,10,197.93902587890625,223.77389526367188,216.46128845214844,0.7169481795082906,7.3126068115234375
ESR2,44,upper_bound,random,0,160.93531799316406,160.93531799316406,160.93531799316406,0.0,0.0
ESR2,44,upper_bound,random,1,160.93531799316406,183.1536407470703,183.1536407470703,1.0,0.0
ESR2,44,upper_bound,random,2,160.93531799316406,184.13528442382812,184.13528442382812,1.0,0.0
ESR2,44,upper_bound,random,3,160.93531799316406,187.080810546875,187.080810546875,1.0,0.0
ESR2,44,upper_bound,random,4,160.93531799316406,188.2629852294922,188.2629852294922,1.0,0.0
ESR2,44,upper_bound,random,5,160.93531799316406,188.9871826171875,188.9871826171875,1.0,0.0
ESR2,44,upper_bound,random,6,160.93531799316406,192.54136657714844,192.54136657714844,1.0,0.0
ESR2,44,upper_bound,random,7,160.93531799316406,192.87013244628906,192.87013244628906,1.0,0.0
ESR2,44,upper_bound,random,8,160.93531799316406,194.29718017578125,194.29718017578125,1.0,0.0
ESR2,44,upper_bound,random,9,160.93531799316406,194.3539276123047,194.3539276123047,1.0,0.0
ESR2,44,upper_bound,random,10,160.93531799316406,194.47772216796875,194.47772216796875,1.0,0.0
ESR2,44,random,random,10,160.93531799316406,194.47772216796875,179.7501220703125,0.5609259246622859,14.72760009765625
F2,44,upper_bound,random,0,172.4484405517578,172.4484405517578,172.4484405517578,0.0,0.0
F2,44,upper_bound,random,1,172.4484405517578,191.86358642578125,191.86358642578125,1.0,0.0
F2,44,upper_bound,random,2,172.4484405517578,193.80816650390625,193.80816650390625,1.0,0.0
F2,44,upper_bound,random,3,172.4484405517578,193.97239685058594,193.97239685058594,1.0,0.0
F2,44,upper_bound,random,4,172.4484405517578,194.3865509033203,194.3865509033203,1.0,0.0
F2,44,upper_bound,random,5,172.4484405517578,194.8979034423828,194.8979034423828,1.0,0.0
F2,44,upper_bound,random,6,172.4484405517578,195.26478576660156,195.26478576660156,1.0,0.0
F2,44,upper_bound,random,7,172.4484405517578,195.60513305664062,195.60513305664062,1.0,0.0
F2,44,upper_bound,random,8,172.4484405517578,197.1929931640625,197.1929931640625,1.0,0.0
F2,44,upper_bound,random,9,172.4484405517578,197.9689178466797,197.9689178466797,1.0,0.0
F2,44,upper_bound,random,10,172.4484405517578,198.08934020996094,198.08934020996094,1.0,0.0
F2,44,random,random,10,172.4484405517578,198.08934020996094,182.8569183349609,0.40593262802591173,15.232421875000028
JAK2,44,upper_bound,random,0,184.96168518066406,184.96168518066406,184.96168518066406,0.0,0.0
JAK2,44,upper_bound,random,1,184.96168518066406,199.94761657714844,199.94761657714844,1.0,0.0
JAK2,44,upper_bound,random,2,184.96168518066406,200.8656463623047,200.8656463623047,1.0,0.0
JAK2,44,upper_bound,random,3,184.96168518066406,202.07644653320312,202.07644653320312,1.0,0.0
JAK2,44,upper_bound,random,4,184.96168518066406,202.319091796875,202.319091796875,1.0,0.0
JAK2,44,upper_bound,random,5,184.96168518066406,206.23057556152344,206.23057556152344,1.0,0.0
JAK2,44,upper_bound,random,6,184.96168518066406,207.23638916015625,207.23638916015625,1.0,0.0
JAK2,44,upper_bound,random,7,184.96168518066406,207.2463836669922,207.2463836669922,1.0,0.0
JAK2,44,upper_bound,random,8,184.96168518066406,207.4539337158203,207.4539337158203,1.0,0.0
JAK2,44,upper_bound,random,9,184.96168518066406,207.480712890625,207.480712890625,1.0,0.0
JAK2,44,upper_bound,random,10,184.96168518066406,207.49453735351562,207.49453735351562,1.0,0.0
JAK2,44,random,random,10,184.96168518066406,207.49453735351562,194.43865966796875,0.4205847717193524,13.055877685546875
KIT,44,upper_bound,random,0,173.2569580078125,173.2569580078125,173.2569580078125,0.0,0.0
KIT,44,upper_bound,random,1,173.2569580078125,191.09519958496094,191.09519958496094,1.0,0.0
KIT,44,upper_bound,random,2,173.2569580078125,191.85946655273438,191.85946655273438,1.0,0.0
KIT,44,upper_bound,random,3,173.2569580078125,194.7064971923828,194.7064971923828,1.0,0.0
KIT,44,upper_bound,random,4,173.2569580078125,194.88307189941406,194.88307189941406,1.0,0.0
KIT,44,upper_bound,random,5,173.2569580078125,195.52127075195312,195.52127075195312,1.0,0.0
KIT,44,upper_bound,random,6,173.2569580078125,195.8488006591797,195.8488006591797,1.0,0.0
KIT,44,upper_bound,random,7,173.2569580078125,197.57791137695312,197.57791137695312,1.0,0.0
KIT,44,upper_bound,random,8,173.2569580078125,197.61717224121094,197.61717224121094,1.0,0.0
KIT,44,upper_bound,random,9,173.2569580078125,197.71548461914062,197.71548461914062,1.0,0.0
KIT,44,upper_bound,random,10,173.2569580078125,197.7466278076172,197.7466278076172,1.0,0.0
KIT,44,random,random,10,173.2569580078125,197.7466278076172,189.81326293945312,0.6760525996055964,7.9333648681640625
PARP1,44,upper_bound,random,0,191.90249633789062,191.90249633789062,191.90249633789062,0.0,0.0
PARP1,44,upper_bound,random,1,191.90249633789062,220.5286865234375,220.5286865234375,1.0,0.0
PARP1,44,upper_bound,random,2,191.90249633789062,221.36737060546875,221.36737060546875,1.0,0.0
PARP1,44,upper_bound,random,3,191.90249633789062,222.35189819335938,222.35189819335938,1.0,0.0
PARP1,44,upper_bound,random,4,191.90249633789062,222.42971801757812,222.42971801757812,1.0,0.0
PARP1,44,upper_bound,random,5,191.90249633789062,222.58724975585938,222.58724975585938,1.0,0.0
PARP1,44,upper_bound,random,6,191.90249633789062,223.18389892578125,223.18389892578125,1.0,0.0
PARP1,44,upper_bound,random,7,191.90249633789062,223.92514038085938,223.92514038085938,1.0,0.0
PARP1,44,upper_bound,random,8,191.90249633789062,224.17483520507812,224.17483520507812,1.0,0.0
PARP1,44,upper_bound,random,9,191.90249633789062,224.292724609375,224.292724609375,1.0,0.0
PARP1,44,upper_bound,random,10,191.90249633789062,224.54376220703125,224.54376220703125,1.0,0.0
PARP1,44,random,random,10,191.90249633789062,224.54376220703125,215.94827270507807,0.7366680098617302,8.595489501953182
ESR2,42,upper_bound,qpmhi_mc_bnn,0,173.93540954589844,173.93540954589844,173.93540954589844,0.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,1,173.93540954589844,183.78427124023438,183.78427124023438,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,2,173.93540954589844,184.281494140625,184.281494140625,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,3,173.93540954589844,185.73727416992188,185.73727416992188,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,4,173.93540954589844,186.13992309570312,186.13992309570312,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,5,173.93540954589844,188.8538055419922,188.8538055419922,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,6,173.93540954589844,189.08009338378906,189.08009338378906,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,7,173.93540954589844,189.72381591796875,189.72381591796875,1.0,0.0
ESR2,42,upper_bound,qpmhi_mc_bnn,8,173.93540954589844,190.0047607421875,190.0047607421875,1.0,0.0
